SERIAL;gmc_GOALt1;gmc_PLANt1;gmc_PROt1;gmc_MOTt1;gmc_VOLt1;gmc_SEt1
WR312764;0,907718121;-0,411111111;-0,044103547;0,375555556;0,49;0,237136465
XA855886;-1,342281879;1,255555556;0,384467881;-0,624444444;0,49;0,126025354
XB482288;1,407718121;0,922222222;-1,329817833;-0,957777778;0,49;0,68158091
XG496891;-1,342281879;-0,411111111;-1,18696069;-0,291111111;-0,51;0,014914243
XK242279;-0,092281879;-1,411111111;2,527325024;-0,624444444;-1,01;0,014914243
XK292543;0,657718121;1,255555556;-1,329817833;-0,291111111;1,24;0,126025354
XN198271;0,907718121;1,588888889;0,527325024;-0,291111111;1,24;-0,207307979
XP544262;0,907718121;-0,744444444;0,527325024;-0,957777778;0,74;0,014914243
XS659581;0,157718121;1,922222222;0,098753595;1,708888889;-0,01;-1,31841909
XV615413;0,407718121;0,922222222;-0,901246405;1,375555556;-0,51;0,792692021
XV917984;0,657718121;0,588888889;1,241610738;-0,624444444;-0,51;-0,096196868
XY216464;0,657718121;-1,411111111;0,384467881;-0,957777778;-0,26;-0,540641312
XY662821;0,157718121;-0,077777778;0,81303931;0,375555556;-1,26;0,014914243
XZ767591;-0,092281879;0,922222222;0,527325024;1,375555556;0,74;0,570469799
YA272536;0,157718121;0,588888889;0,670182167;0,042222222;0,49;0,237136465
YC186467;0,407718121;-0,077777778;-0,758389262;-2,291111111;0,49;-0,762863535
YC888437;1,407718121;-0,744444444;-2,472674976;-1,624444444;1,74;1,237136465
YE632525;0,157718121;0,255555556;-0,329817833;1,042222222;-0,26;-0,429530201
YF233344;1,157718121;-0,411111111;0,527325024;-2,624444444;-0,01;-0,540641312
YL695788;1,407718121;0,255555556;0,384467881;2,375555556;0,49;1,792692021
YM644361;-0,842281879;-0,411111111;2,527325024;-0,957777778;-1,51;-0,429530201
YN129325;0,907718121;2,922222222;-0,758389262;0,708888889;1,74;1,348247576
YR389785;0,157718121;-0,744444444;1,81303931;-1,291111111;-1,01;-1,429530201
